Unnamed: 0,name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
0,'Long As You Know You're Living Yours,Keith Jarrett,Belonging,0.02159800035886237,0.15780069876096958,-0.9028367222004937,5,-1.155631470786026,1,-0.5984570040480625,-0.1315695020141215,0.20845193572782705,-0.4114423620728348,1.7111982048927412,0.4571835274560627,5z7deaTe21B7QVPhSDouL1,1.5155820536290763,4,jazz
1,"'Ode To Joy' From Symphony No. 9 In D Minor 'Choral', Op. 125",Ludwig van Beethoven,Hallelujah - 35 Great Sacred Choruses,-0.7025510371028139,-1.71346569856661,-0.3483952683986939,2,-0.6904934090648067,1,-0.3734782367478048,1.6575074524130524,1.1013548705055936,0.9217076316159084,-1.0246149476156947,1.4084729180295366,3mhzXvn3dqhC3Z3k6l4kEz,-0.51415500406483,4,orchestral
2,'Round Midnight,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings of Thelonious Monk- 1962-1968,-2.0603304823434563,-0.32243581028770113,-0.7325439899613696,8,0.06481033865059638,1,-0.3747565251983744,1.953172783836093,2.2739217433458307,0.5104166761161898,-0.9362389609475851,-1.4189753957217723,1kAaGwsZioS6AoP78CLbWr,-0.17454928513348816,4,jazz
3,'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",0.29315388940699066,-0.1899567733087573,-1.1246133037212136,8,-0.20618809143422698,1,-0.5153682547610354,1.8415440362580064,1.697746642036404,-0.8092599931682524,-1.1398879737045335,-0.07606483438024053,1wl5b2lw3YagQtZiYZbQWP,-0.5835583655489481,4,jazz
4,"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,'Round About Midnight,0.24789457456563607,-0.45491484726664494,-1.671134165325845,10,-0.42272115076670813,0,-0.4437841015291353,1.4885558344570295,-0.48781018669661713,-0.3263476816246172,-1.1245182368926883,-0.21423685247762422,5vb7At47uO0yPGfmYnAHuw,1.3313838958818889,4,jazz
5,'Till I Collapse,Eminem,The Eminem Show,-2.0603304823434563,-0.14027713444165338,0.9783039246270413,1,1.0649235925350602,1,1.5081623624907146,-0.6691976862956095,-0.48902318690990015,-0.6851635841812683,-1.5471859992184298,1.8352042302994807,6yr8GiTHWvFfi4o6Q5ebdT,0.6502752193659576,4,hiphop
6,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,1.198340186234086,-1.343628387000392,1.2792864281194471,9,0.06424101421764469,0,-0.07308045086393783,-0.8861194957784321,-0.4883223423422255,0.8649778446504299,-0.45209225137446296,0.7901016584565538,5QTxFnGygVM4jFQiBovmRo,0.7715443425332351,4,rock
7,(Every Time I Turn Around) Back In Love Again,L.T.D.,Disco Top 50,-2.015071167502102,1.1955531550960288,0.9585024441341198,10,0.42614157876369274,0,-0.3453558908352725,-0.8833740319866469,-0.48776975335617434,-0.8120964825165263,1.6151373498187094,-0.33241074822850586,5Ftk8E8A9FXYSsArdzM9yy,3.255029739634499,4,disco
8,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1.2888588159167955,0.8091559639074427,1.0258274778100527,2,0.18949238946693217,1,-0.5780043888389481,-0.7793179372848033,-0.38221177924025784,-0.333438904995302,1.6458768234423997,0.6098742521784803,2PzU4IB8Dr6mxV3lHuaG34,-0.24000401867053464,4,rock
9,(I Get So) Emotional,James Vickery,(I Get So) Emotional,0.1121166300415718,-0.5542741250008528,-0.3998791176802896,3,-0.3164472566157967,1,-0.19963100747033288,1.081261755455902,-0.4889477113410736,0.19131162443537364,-0.8593902768883592,-1.5314604713287103,4AHFGnD2G51kpRhZEgho8a,-0.6433213831262513,4,R&B
